,created_at,followers,friends_count,geo,hashtags,location,statuses_count,text,vader,day
0,2018-07-03 00:00:00,0,0,"41.139466,-74.02854339999999,5mi",0,"New York , New Square",0,,0.0,2018-07-03
0,2018-07-03 00:00:00,0,0,"40.4281245,-80.1006113,5mi",0,"Pennsylvania , Pennsbury Village",0,,0.0,2018-07-03
0,2018-07-03 00:00:00,0,0,"39.9184461,-75.2590721,5mi",0,"Pennsylvania , Darby",0,,0.0,2018-07-03
0,2018-07-02 17:31:41+00:00,1234,8,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",2794,SpaceX’s science-laden Dragon cargo spaceship hooks up with space station https://t.co/sGIBAhfrKG,0.0,2018-07-02
1,2018-07-02 17:20:32+00:00,167,83,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",10220,RT @HMSTEMnaut: 💕 that my husband indulges my nerdy 🤓 side and even got up early with me to watch the @Space_Station and the @SpaceX #Drago…,-0.34,2018-07-02
2,2018-07-02 11:01:58+00:00,35,126,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",271,@SpaceX @Space_Station Too good!,0.4926,2018-07-02
3,2018-07-02 09:29:47+00:00,1054,1251,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",4875,💕 that my husband indulges my nerdy 🤓 side and even got up early with me to watch the @Space_Station and the… https://t.co/qNcpsCP1EM,-0.34,2018-07-02
4,2018-07-01 07:55:21+00:00,331,543,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",16701,RT @myrichiehaynes: SpaceX's Falcon 9 Rocket Launches Dragon to the International Space Station via NASA https://t.co/VfRZYjlDIc https://t.…,0.0,2018-07-01
5,2018-06-30 21:14:25+00:00,141,93,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",20520,"My proceeds from PayPal were $180m. I put $100m in SpaceX, $70m in Tesla and $10m in Solar City. I had to borrow money for rent.—Elon Musk",0.0,2018-06-30
6,2018-06-29 23:46:27+00:00,8,104,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",397,@realtansu1 @Bob_Richards @elonmusk @SpaceX @Tesla It's 2 seperate companies.   And flying cars are dumb lol,-0.128,2018-06-29
7,2018-06-29 22:45:07+00:00,1334,1354,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",53793,"SpaceX Launches AI Robot, Strong Coffee For Space Station Cr.. https://t.co/MOHoUdhqKV",0.5106,2018-06-29
8,2018-06-29 21:35:35+00:00,4741,5159,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",9530,SpaceX's Falcon 9 Rocket Launches Dragon to the International Space Station via NASA https://t.co/VfRZYjlDIc https://t.co/RNSy6LHVqm,0.0,2018-06-29
9,2018-06-29 21:27:06+00:00,1548,973,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",319854,@catherinekelley @NASA @NASASocial @SpaceX Gorgeous picture!,0.6476,2018-06-29
10,2018-06-29 21:26:23+00:00,1548,973,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",319854,@catherinekelley @SpaceX Love this photo!!,0.6988,2018-06-29
11,2018-06-29 19:05:05+00:00,1334,1354,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",53793,&amp;amp;#39;Flying brain&amp;amp;#39; blasts off on SpaceX cargo sh.. https://t.co/e5hDEVCA7G https://t.co/uwkWRlbM36,0.0,2018-06-29
12,2018-06-29 14:46:05+00:00,493,1454,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",14067,@elonmusk 😇😇😇SpaceX. Seriously you should have everyone take lie detectors. I can bet china or Russian want your en… https://t.co/dU44JECI98,-0.1027,2018-06-29
13,2018-06-29 14:44:14+00:00,493,1454,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",14067,@elonmusk 😇😇😇Make sure your computors at SpaceX are super secure. I bet china trying to get your engine design. The… https://t.co/KdJwNEEXml,0.8225,2018-06-29
14,2018-06-29 12:15:00+00:00,67964,173,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",138278,The shipment — packed into a Dragon capsule that's also recycled — should reach the station Monday. https://t.co/439Qo2O0fs,0.0258,2018-06-29
15,2018-06-29 12:03:13+00:00,532,1079,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",16020,"New NASA Research, Hardware Heading to Space Station on 15th SpaceX Resupply Mission https://t.co/gKYTkCBxNo https://t.co/SlBv3mhYMX",0.0,2018-06-29
16,2018-06-29 11:43:26+00:00,166472,215,"40.3959026,-80.0331092,5mi",[],"Pennsylvania , Dormont",102103,"LAUNCH: SpaceX launches AI robot, strong coffee for International Space Station crew: https://t.co/gXO6xKtwbD",0.5106,2018-06-29
